1767-06-22	12:00	[1767] Wilhelm von Humboldt wird in Potsdam geboren. Er hat einen Halbbruder aus der ersten Ehe der Mutter: Heinrich Friedrich Ludwig Ferdinand von Hollwede (1763-1817).\n\nhttp://edition-humboldt.de/H0014941
1769-09-14	12:00	[1769] Alexander von Humboldt wird in Berlin, J\u00E4gerstra\u00DFe Nr. 22 (heute Sitz der Berlin-Brandenburgischen Akademie der Wissenschaften) geboren. Der Geburtsort steht nicht mit letzter Sicherheit fest; es k\u00F6nnte auch Schloss Tegel bei Berlin sein.\n\nhttp://edition-humboldt.de/H0014923
1769-10-09	12:00	[1769] Taufe im Berliner Dom. H. erh\u00E4lt die Vornamen Friedrich Wilhelm Heinrich Alexander.\n\nhttp://edition-humboldt.de/H0014924
1775-01-01	12:00	[1775] Beginn der Unterrichtung H.s durch Hauslehrer (u.a. Joachim Heinrich Campe).\n\nhttp://edition-humboldt.de/H0015078
1777-01-01	12:00	[1777] Gottlob Johann Christian Kunth \u00FCbernimmt die Erziehung der Br\u00FCder Wilhelm und Alexander. Neben Kunth erteilen auch andere Berliner Gelehrte Unterricht.\n\nhttp://edition-humboldt.de/H0015076
1777-09-25	12:00	[1777] Tod des Mathematikers und Philosophen Johann Heinrich Lambert; H. wird zur Aufbahrungsst\u00E4tte gef\u00FChrt, um ihn \u201Epedantisch an den Anblik von Leichen zu gew\u00F6hnen\u201C (Brief an Emil du Bois-Reymond, 4.9.1851).\n\nhttp://edition-humboldt.de/H0015077
1778-05-20	12:00	[1778] Goethe zu Gast in Tegel, wo H. seine Kindheit verbringt.\n\nhttp://edition-humboldt.de/H0015075
1779-01-06	12:00	[1779] Tod Alexander Georg von Humboldts; Beisetzung zun\u00E4chst in der Dorfkirche von Ringenwalde/Neumark, sp\u00E4ter in der Dorfkirche in Falkenberg bei Berlin.\n\nhttp://edition-humboldt.de/H0015073
1779-01-09	02:00	[1779] Die \u201EK\u00F6niglich privilegirte Berlinische Staats- und gelehrte Zeitung\u201C meldet, dass am 6. 1. fr\u00FCh um 2 Uhr der \u201EK\u00F6nigl. Preu\u00DFische Cammerherr und Major, Herr von Homboldt [sic!]\u201C verstorben ist.\n\nhttp://edition-humboldt.de/H0015074
1781-07-30	12:00	[1781] Der Arzt Ernst Ludwig Heim erkl\u00E4rt in Tegel den Br\u00FCdern Wilhelm und Alexander von Humboldt die 24 Klassen des Linn\u00E9schen Pflanzensystems.\n\nhttp://edition-humboldt.de/H0014922
1783-04-08	12:00	[1783] H. fertigt eine Zeichnung der \u201EHalbkugel der neuen Welt\u201C (Amerika, Ozeanien) an.\n\nhttp://edition-humboldt.de/H0015059
1783-04-10	12:00	[1783] H. entwirft eine zeichnerische Veranschaulichung des \u201ECopernicanischen Planetensystems\u201C.\n\nhttp://edition-humboldt.de/H0015060
