1767-06-22	12:00	[1767] Wilhelm von Humboldt wird in Potsdam geboren. Er hat einen Halbbruder aus der ersten Ehe der Mutter: Heinrich Friedrich Ludwig Ferdinand von Hollwede (1763-1817).
1769-09-14	12:00	[1769] Alexander von Humboldt wird in Berlin, Jägerstraße Nr. 22 (heute Sitz der Berlin-Brandenburgischen Akademie der Wissenschaften) geboren. Der Geburtsort steht nicht mit letzter Sicherheit fest; es könnte auch Schloss Tegel bei Berlin sein.
1769-10-09	12:00	[1769] Taufe im Berliner Dom. H. erhält die Vornamen Friedrich Wilhelm Heinrich Alexander.
1775-01-01	12:00	[1775] Beginn der Unterrichtung H.s durch Hauslehrer (u.a. Joachim Heinrich Campe).
1777-01-01	12:00	[1777] Gottlob Johann Christian Kunth übernimmt die Erziehung der Brüder Wilhelm und Alexander. Neben Kunth erteilen auch andere Berliner Gelehrte Unterricht.
1777-09-25	12:00	[1777] Tod des Mathematikers und Philosophen Johann Heinrich Lambert; H. wird zur Aufbahrungsstätte geführt, um ihn „pedantisch an den Anblik von Leichen zu gewöhnen“ (Brief an Emil du Bois-Reymond, 4.9.1851).
1778-05-20	12:00	[1778] Goethe zu Gast in Tegel, wo H. seine Kindheit verbringt.
1779-01-06	12:00	[1779] Tod Alexander Georg von Humboldts; Beisetzung zunächst in der Dorfkirche von Ringenwalde/Neumark, später in der Dorfkirche in Falkenberg bei Berlin.
1779-01-09	02:00	[1779] Die „Königlich privilegirte Berlinische Staats- und gelehrte Zeitung“ meldet, dass am 6. 1. früh um 2 Uhr der „Königl. Preußische Cammerherr und Major, Herr von Homboldt [sic!]“ verstorben ist.
1781-07-30	12:00	[1781] Der Arzt Ernst Ludwig Heim erklärt in Tegel den Brüdern Wilhelm und Alexander von Humboldt die 24 Klassen des Linnéschen Pflanzensystems.
1783-04-08	12:00	[1783] H. fertigt eine Zeichnung der „Halbkugel der neuen Welt“ (Amerika, Ozeanien) an.
1783-04-10	12:00	[1783] H. entwirft eine zeichnerische Veranschaulichung des „Copernicanischen Planetensystems“.
1784-06-24	12:00	[1784] Maria Elisabeth von Humboldt übergibt Tegel einem Pächter.
1786-01-07	12:00	[1786] H. nimmt an der Leichenfeier für den Philosophen Moses Mendelssohn teil.
1787-10-01	12:00	[1787] Immatrikulation H.s und seines mit ihm am 29.9. eingetroffenen Bruders Wilhelm an der Universität Frankfurt/Oder. Die Brüder studieren das erste Semester unter der Aufsicht von Kunth.
1788-02-13	12:00	[1788] H. schließt einen „Freundschaftsbund“ mit dem Theologiestudenten Wilhelm Gabriel Wegener in Frankfurt/Oder.
1788-03-20	12:00	[1788] Ende des Studiums in Frankfurt/Oder. H. kehrt nach Berlin zurück; sein Bruder bezieht die Universität Göttingen. Kunth, der Wilhelm von Humboldt nach Göttingen begleitet hatte, kehrt am 5.5. zu H. zurück. H. wird in Berlin durch verschiedene Gelehrte in Technologie, Physik, Mathematik, Zeichnen, Griechisch und Philosophie weiter unterrichtet. Daneben betreibt er mit Karl Ludwig Willdenow botanische Studien. H. und Willdenow schließen Freundschaft.
1788-07-14	12:00	[1788] H. reitet mit Kunth über Rüdersdorf nach Frankfurt/Oder, wo sie sich zwei Tage aufhalten.
1788-07-18	12:00	[1788] H. wieder in Berlin.
1788-08-09	12:00	[1788] H. reist mit dem Geistlichen Johann Friedrich Zöllner, seinem Lehrer in Technologie, über Eberswalde nach dem Humboldtschen Gut Ringenwalde/Neumark (B: 4.9.).
1788-09-27	12:00	[1788] H. sieht in Berlin den Ballonaufstieg Jean-Pierre Blanchards.
1789-01-05	12:00	[1789] In der „Gazette littéraire de Berlin“ erscheint H.s erste Veröffentlichung, die Übersetzung einer botanischen Abhandlung aus der lateinischen in die französische Sprache mit eigenen Anmerkungen (Fortsetzung am 12.1.).
