H0014873.xml	1802-10-13	Huambacho, Casma.	{}	{}	[]
H0002977.xml	1829-05-11	H. wird Mitglied der Petersburger Akademie der Wissenschaften.	{}	{}	[]
H0002963.xml	1829-02-18	H. nimmt als Pate an der Taufe von Valentin Rose, Sohn von Gustav Rose, teil.	{https://edition-humboldt.de/H0001040=Personenregister – A|https://edition-humboldt.de/H0001040|https://upload.wikimedia.org/wikipedia/commons/d/d2/Gustav_Rose.jpg, https://edition-humboldt.de/H0018931=Personenregister – A|https://edition-humboldt.de/H0018931|https://upload.wikimedia.org/wikipedia/commons/e/e7/Valentin_Rose_Philologe.jpg}	{}	[]
H0014867.xml	1802-09-15	Besuch der warmen Quellen von Cajamarca (13.–18.9.). In Cajamarca findet H. die Reste des Inka-Palastes, in dem der von Pizarro ermordete letzte Inka-Fürst Atahualpa lebte. Er lernt dessen Nachkommen, die in den Ruinen wohnende Familie des Silvestre Astorpilco, kennen. Von Cajamarca aus Beginn des Abstiegs von den Anden. Von einer Anhöhe bei Huangamarca erblickt H. zum ersten Mal den Stillen Ozean.	{https://edition-humboldt.de/H0002015=Personenregister – A|https://edition-humboldt.de/H0002015|https://upload.wikimedia.org/wikipedia/commons/9/91/Portrait_of_Francisco_Pizarro.jpg, https://edition-humboldt.de/H0012774=Personenregister – A|https://edition-humboldt.de/H0012774|null, https://edition-humboldt.de/H0012776=Personenregister – A|https://edition-humboldt.de/H0012776|null}	{}	[]
H0014697.xml	1808-05-10	H. isst zu Mittag beim russischen Gesandten Graf Tolstoj, anwesend: Baron Degérando und Voght.	{https://edition-humboldt.de/H0002885=Personenregister – A|https://edition-humboldt.de/H0002885|https://upload.wikimedia.org/wikipedia/commons/e/ec/CasparVoghtMosnier1801.jpg, https://edition-humboldt.de/H0012182=Personenregister – A|https://edition-humboldt.de/H0012182|https://upload.wikimedia.org/wikipedia/commons/4/42/Joseph_Marie_Degerando.jpg, https://edition-humboldt.de/H0018917=Personenregister – A|https://edition-humboldt.de/H0018917|null}	{}	[]
H0014683.xml	1797-10-21	H. reist an diesem oder am nächsten Tage von Wien über Linz nach Salzburg, mit Aufenthalt in Gmunden, am Traunfall und Traunsee.	{}	{}	[]
H0005765.xml	1847-04-08	Meyerbeer besucht H.	{https://edition-humboldt.de/H0014192=Personenregister – A|https://edition-humboldt.de/H0014192|https://upload.wikimedia.org/wikipedia/commons/3/3e/Meyerbeer_d%27apr%C3%A8s_P._Petit_b_1865.jpg}	{}	[]
H0014668.xml	1797-05-23	H. besucht den wieder in Jena weilenden Goethe; desgl. am 26.5. (Gespräch über Weberei in der Antike). Am 29.5. trifft H. mit Goethe bei dem Anatomen Justus Christian von Loder zusammen.	{https://edition-humboldt.de/H0004586=Personenregister – A|https://edition-humboldt.de/H0004586|https://upload.wikimedia.org/wikipedia/commons/a/a4/JustusChristianLoder.jpg, https://edition-humboldt.de/H0013530=Personenregister – A|https://edition-humboldt.de/H0013530|https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg}	{}	[]
H0015210.xml	1856-09-18	H. zu Dinner in Potsdam beim Friedrich Wilhelm IV. aus Anlass der Ankunft des Großherzogs von Baden.	{https://edition-humboldt.de/H0002178=Personenregister – A|https://edition-humboldt.de/H0002178|https://upload.wikimedia.org/wikipedia/commons/4/43/Friedrich_Wilhelm_IV_von_preussen_1847.jpg, https://edition-humboldt.de/H0003022=Personenregister – A|https://edition-humboldt.de/H0003022|https://upload.wikimedia.org/wikipedia/commons/0/04/Kuntzem%C3%BCller_Gro%C3%9Fherzog_Friedrich.JPG}	{}	[]
H0015204.xml	1856-06-09	Vorlesung von Louis Schneider in Sanssouci vor der Kaiserin-Mutter (Zarin Aleksandra Fedorovna) in Anwesenheit von H.	{https://edition-humboldt.de/H0001156=Personenregister – A|https://edition-humboldt.de/H0001156|https://upload.wikimedia.org/wikipedia/commons/8/8d/Alexandra_Fedorovna_by_George_Dawe_01_detail.JPG, https://edition-humboldt.de/H0015617=Personenregister – A|https://edition-humboldt.de/H0015617|https://upload.wikimedia.org/wikipedia/commons/d/d6/Louis_Schneider_%28actor%29.jpg}	{}	[]
